,CANTIDAD_CORRECTIVAS,CANTIDAD_CRIMENES
0,748.0,6.0
1,607.0,6.0
2,894.0,7.0
3,952.0,4.0
4,1049.0,7.0
5,1038.0,5.0
6,1276.0,4.0
7,1727.0,4.0
8,1317.0,7.0
9,1439.0,8.0
10,1585.0,4.0
11,1798.0,8.0
12,1683.0,6.0
13,1695.0,8.0
14,2517.0,9.0
15,2060.0,4.0
16,2087.0,5.0
17,2151.0,11.0
18,1905.0,1.0
19,2424.0,9.0
20,2467.0,13.0
21,1900.0,7.0
22,1469.0,5.0
23,1488.0,11.0
24,2229.0,6.0
25,2307.0,5.0
26,2125.0,8.0
27,2674.0,8.0
28,1301.0,4.0
29,1597.0,10.0
30,1590.0,6.0
31,1928.0,4.0
32,2004.0,5.0
33,1723.0,5.0
34,1201.0,16.0
35,2161.0,4.0
36,2616.0,15.0
37,2797.0,2.0
38,5488.0,2.0
39,7081.0,3.0
40,4392.0,0.0
41,3429.0,1.0
42,5314.0,1.0
43,2880.0,2.0
44,1837.0,9.0
45,1436.0,8.0
46,1591.0,8.0
47,3067.0,0.0
48,3468.0,0.0
49,2629.0,0.0
50,2958.0,0.0
51,2137.0,0.0
52,1448.0,0.0
53,2158.0,3.0
54,2512.0,5.0
55,2861.0,5.0
56,2526.0,7.0
57,3057.0,8.0
58,1198.0,1.0
